"Bug ID","Product","Component","Assignee","Status","Severity","Resolution","Summary","Changed","Alias","Assignee Real Name","Blocks","Depends on","Hardware","Keywords","Last Visit","Number of Comments","Opened","OS","Personal Tags","Priority","Reporter","Reporter Real Name","Summary","Target Milestone","URL","Version","Votes"
56885,"POI","XWPF","dev","NEW","normal"," ---","To change text in a XWPFSDTContent object","2018-02-08 18:14:17",,"POI Developers List",,,"PC",,,5,"2014-08-25 08:15:19","All",,"P1","rico.stodko",,"To change text in a XWPFSDTContent object"," ---",,"unspecified",0
51643,"POI","XWPF","dev","NEW","normal"," ---","XWPFTable.createRow() uses first row as a template","2011-08-10 09:11:47",,"POI Developers List",,,"All",,,1,"2011-08-10 09:11:47","All",,"P2","dkochelaev","Dmitry Kochelaev","XWPFTable.createRow() uses first row as a template"," ---",,"3.8-dev",0
51948,"POI","XWPF","dev","NEW","major"," ---","Data written to parts not readable","2011-10-04 09:32:25",,"POI Developers List",,,"PC",,,1,"2011-10-04 09:32:25","All",,"P2","bernd.fuhrmann","Bernd Fuhrmann","Data written to parts not readable"," ---",,"3.8-dev",0
55390,"POI","XWPF","dev","NEW","trivial"," ---","Incorrect insertion of newline between runs in textbox","2016-11-25 21:13:12",,"POI Developers List",,45558,"PC",,,1,"2013-08-08 13:24:35","All",,"P2","tallison","Tim Allison","Incorrect insertion of newline between runs in textbox"," ---",,"3.10-dev",0
55966,"POI","XWPF","dev","NEW","normal"," ---","Text contents of content controls within paragraphs, not appearing in XWPFWordExtractor.getText()","2016-04-07 20:59:06",,"POI Developers List",,,"PC",,,1,"2014-01-07 16:38:30","All",,"P2","ben+poi","Ben Best","Text contents of content controls within paragraphs, not appearing in XWPFWordExtractor.getText()"," ---",,"3.10-dev",0
56469,"POI","XWPF","dev","NEW","enhancement"," ---","[PATCH] patch for XWPF to support adding comments","2016-02-19 14:39:34",,"POI Developers List",,,"PC","PatchAvailable",,4,"2014-04-29 01:34:50","Linux",,"P2","balleman","Brady Alleman","[PATCH] patch for XWPF to support adding comments"," ---",,"unspecified",0
56987,"POI","XWPF","dev","NEW","major"," ---","Custom properties in docx header aren't updated in 3.11","2016-04-05 15:26:49",,"POI Developers List",,,"PC",,,1,"2014-09-17 07:58:24","All",,"P2","aabual-haj","Alaa","Custom properties in docx header aren't updated in 3.11"," ---",,"3.11-dev",0
57727,"POI","XWPF","dev","NEW","normal"," ---","XWPFParagraph.searchText may return invalid result when searched string is in more runs","2018-05-28 06:48:05",,"POI Developers List",,,"PC",,,5,"2015-03-19 13:54:59","Windows NT",,"P2","vglasnak","Vladimir Glasnak","XWPFParagraph.searchText may return invalid result when searched string is in more runs"," ---",,"3.12-dev",0
57899,"POI","XWPF","dev","NEW","enhancement"," ---","Refactor XWPFRun and XWPFParagraph so the PPr/RPr logic can be shared with the default styles code","2016-03-13 20:11:55",,"POI Developers List",,,"PC",,,1,"2015-05-07 13:28:38","Linux",,"P2","apache","Nick Burch","Refactor XWPFRun and XWPFParagraph so the PPr/RPr logic can be shared with the default styles code"," ---",,"3.12-dev",0
57903,"POI","XWPF","dev","NEW","enhancement"," ---","Add method to remove pictures in XWPFDocument","2016-03-13 20:12:30",,"POI Developers List",,,"PC","APIBug",,1,"2015-05-08 09:19:23","All",,"P2","sherin20152015","Sherin","Add method to remove pictures in XWPFDocument"," ---","http://stackoverflow.com/questions/16142634/getting-image-size-from-xwpf-document-apache-poi","3.10-FINAL",0
